TimestampUTC,Video,Annotated_Video,Type,Severity,Crack_ID,Avg_Length_mm,Avg_Width_mm,Avg_Orientation_Deg,Avg_Area_mm2,Total_Frames_Tracked,Critical_Shear_Alert,GSD_mm_per_px
2026-06-23T16:57:08+00:00,C:\Users\ADMIN\Downloads\videotest2.mp4,c:\Users\ADMIN\PROJECT_LIPAD_ANALYSIS\Corrosion\PROJECT_LIPAD\data\annotated\videotest2_annotated.mp4,Crack,Structural,Crack#1,440.74,0.6048,-48.4,463.68,31,1,0.5436
2026-06-23T16:57:08+00:00,C:\Users\ADMIN\Downloads\videotest2.mp4,c:\Users\ADMIN\PROJECT_LIPAD_ANALYSIS\Corrosion\PROJECT_LIPAD\data\annotated\videotest2_annotated.mp4,Crack,Moderate,Crack#2,950.45,1.155,-10.0,1565.12,87,0,0.5436
2026-06-23T16:57:08+00:00,C:\Users\ADMIN\Downloads\videotest2.mp4,c:\Users\ADMIN\PROJECT_LIPAD_ANALYSIS\Corrosion\PROJECT_LIPAD\data\annotated\videotest2_annotated.mp4,Crack,Structural,Crack#3,1130.13,0.6628,70.7,1634.27,95,1,0.5436
