TimestampUTC,Video,Annotated_Video,Type,Severity,Crack_ID,Avg_Length_mm,Avg_Width_mm,Avg_Orientation_Deg,Avg_Area_mm2,Total_Frames_Tracked,Critical_Shear_Alert,GSD_mm_per_px
2026-08-09T03:23:13+00:00,C:\Users\Admin\Videos\Screen Recordings\Screen Recording 2026-08-09 111250.mp4,C:\Users\Admin\PROJECT_LIPAD\Corrosion\PROJECT_LIPAD\data\annotated\Screen Recording 2026-08-09 111250_annotated.mp4,Crack,Structural,Crack#1,1852.32,3.2872,-35.0,6191.85,49,1,0.5436
2026-08-09T03:23:13+00:00,C:\Users\Admin\Videos\Screen Recordings\Screen Recording 2026-08-09 111250.mp4,C:\Users\Admin\PROJECT_LIPAD\Corrosion\PROJECT_LIPAD\data\annotated\Screen Recording 2026-08-09 111250_annotated.mp4,Crack,Moderate,Crack#2,1099.36,2.6302,-9.7,3542.17,286,0,0.5436
